[2025-06-04 12:59:31.870] [info]  No state version found, assuming empty state.
[2025-06-04 12:59:31.984] [info]  Coredumps are disabled in renderer process
[2025-06-04 12:59:32.429] [info]  SSH agent started
[2025-06-04 12:59:32.430] [info]  State version: 70
[2025-06-04 12:59:33.242] [info]  Self-host environment did not respond in time, emitting previous config.
[2025-06-04 12:59:39.739] [info]  Retrieving application id
[2025-06-04 12:59:42.014] [info]  Retrieving application id
[2025-06-04 12:59:45.250] [info]  [KeyService] Deriving master key took 12ms
[2025-06-04 12:59:45.251] [info]  Retrieving application id
[2025-06-04 21:39:42.703] [info]  State version: 70
[2025-06-04 21:39:42.705] [info]  Migrator MinVersionMigrator (to version 3) should migrate: false - up
[2025-06-04 21:39:42.706] [info]  Migrator RemoveEverBeenUnlockedMigrator (to version 4) should migrate: false - up
[2025-06-04 21:39:42.706] [info]  Migrator AddKeyTypeToOrgKeysMigrator (to version 5) should migrate: false - up
[2025-06-04 21:39:42.706] [info]  Migrator RemoveLegacyEtmKeyMigrator (to version 6) should migrate: false - up
[2025-06-04 21:39:42.706] [info]  Migrator MoveBiometricAutoPromptToAccount (to version 7) should migrate: false - up
[2025-06-04 21:39:42.706] [info]  Migrator MoveStateVersionMigrator (to version 8) should migrate: false - up
[2025-06-04 21:39:42.706] [info]  Migrator MoveBrowserSettingsToGlobal (to version 9) should migrate: false - up
[2025-06-04 21:39:42.706] [info]  Migrator EverHadUserKeyMigrator (to version 10) should migrate: false - up
[2025-06-04 21:39:42.706] [info]  Migrator OrganizationKeyMigrator (to version 11) should migrate: false - up
[2025-06-04 21:39:42.706] [info]  Migrator MoveEnvironmentStateToProviders (to version 12) should migrate: false - up
[2025-06-04 21:39:42.706] [info]  Migrator ProviderKeyMigrator (to version 13) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator MoveBiometricClientKeyHalfToStateProviders (to version 14) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator FolderMigrator (to version 15) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator LastSyncMigrator (to version 16) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator EnablePasskeysMigrator (to version 17) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator AutofillSettingsKeyMigrator (to version 18) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator RequirePasswordOnStartMigrator (to version 19) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator PrivateKeyMigrator (to version 20) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator CollectionMigrator (to version 21) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator CollapsedGroupingsMigrator (to version 22) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator MoveBiometricPromptsToStateProviders (to version 23) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator SmOnboardingTasksMigrator (to version 24) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator ClearClipboardDelayMigrator (to version 25) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator RevertLastSyncMigrator (to version 26) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator BadgeSettingsMigrator (to version 27) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator MoveBiometricUnlockToStateProviders (to version 28) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator UserNotificationSettingsKeyMigrator (to version 29) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator PolicyMigrator (to version 30) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator EnableContextMenuMigrator (to version 31) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator PreferredLanguageMigrator (to version 32) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator AppIdMigrator (to version 33) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator DomainSettingsMigrator (to version 34) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator MoveThemeToStateProviderMigrator (to version 35) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator VaultSettingsKeyMigrator (to version 36) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator AvatarColorMigrator (to version 37) should migrate: false - up
[2025-06-04 21:39:42.707] [info]  Migrator TokenServiceStateProviderMigrator (to version 38) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator MoveBillingAccountProfileMigrator (to version 39) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator OrganizationMigrator (to version 40) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator EventCollectionMigrator (to version 41) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator EnableFaviconMigrator (to version 42) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator AutoConfirmFingerPrintsMigrator (to version 43) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator UserDecryptionOptionsMigrator (to version 44) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator MergeEnvironmentState (to version 45) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator DeleteBiometricPromptCancelledData (to version 46) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator MoveDesktopSettingsMigrator (to version 47) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator MoveDdgToStateProviderMigrator (to version 48) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator AccountServerConfigMigrator (to version 49) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator KeyConnectorMigrator (to version 50) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator RememberedEmailMigrator (to version 51) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator DeleteInstalledVersion (to version 52) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator DeviceTrustServiceStateProviderMigrator (to version 53) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator SendMigrator (to version 54) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator MoveMasterKeyStateToProviderMigrator (to version 55) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator AuthRequestMigrator (to version 56) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator CipherServiceMigrator (to version 57) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator RemoveRefreshTokenMigratedFlagMigrator (to version 58) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator KdfConfigMigrator (to version 59) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator KnownAccountsMigrator (to version 60) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator PinStateMigrator (to version 61) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator VaultTimeoutSettingsServiceStateProviderMigrator (to version 62) should migrate: false - up
[2025-06-04 21:39:42.708] [info]  Migrator PasswordOptionsMigrator (to version 63) should migrate: false - up
[2025-06-04 21:39:42.709] [info]  Migrator GeneratorHistoryMigrator (to version 64) should migrate: false - up
[2025-06-04 21:39:42.709] [info]  Migrator ForwarderOptionsMigrator (to version 65) should migrate: false - up
[2025-06-04 21:39:42.709] [info]  Migrator MoveFinalDesktopSettingsMigrator (to version 66) should migrate: false - up
[2025-06-04 21:39:42.709] [info]  Migrator RemoveUnassignedItemsBannerDismissed (to version 67) should migrate: false - up
[2025-06-04 21:39:42.709] [info]  Migrator MoveLastSyncDate (to version 68) should migrate: false - up
[2025-06-04 21:39:42.709] [info]  Migrator MigrateIncorrectFolderKey (to version 69) should migrate: false - up
[2025-06-04 21:39:42.709] [info]  Migrator RemoveAcBannersDismissed (to version 70) should migrate: false - up
[2025-06-04 21:39:42.811] [info]  Coredumps are disabled in renderer process
[2025-06-04 21:39:43.212] [info]  SSH agent started
[2025-06-04 21:39:43.214] [info]  State version: 70
[2025-06-04 21:39:43.281] [info]  Retrieving application id
[2025-06-04 21:39:44.801] [info]  Retrieving application id
[2025-06-04 21:39:49.699] [info]  [KeyService] Deriving master key took 11ms
[2025-06-04 21:39:49.701] [info]  Retrieving application id
[2025-06-04 21:40:20.414] [info]  Error: no result
